"Paper #","Paper Name","Meeting","Status","First released version","GitHub issue","Notes"
"`P1928R15 <https://wg21.link/P1928R15>`__","``std::simd`` — merge data-parallel types from the Parallelism TS 2","2024-11 (Wrocław)","|In Progress|","","`#118384 <https://github.com/llvm/llvm-project/issues/118384>`__",""
"`P3325R5 <https://wg21.link/P3325R5>`__","A Utility for Creating Execution Environments","2024-11 (Wrocław)","|Complete|","","`#118385 <https://github.com/llvm/llvm-project/issues/118385>`__",""
"`P3068R6 <https://wg21.link/P3068R6>`__","Allowing exception throwing in constant-evaluation","2024-11 (Wrocław)","","","`#118386 <https://github.com/llvm/llvm-project/issues/118386>`__",""
"`P3247R2 <https://wg21.link/P3247R2>`__","Deprecate the notion of trivial types","2024-11 (Wrocław)","|Complete|","21","`#118387 <https://github.com/llvm/llvm-project/issues/118387>`__",""
"","","","","","",""
"`P3074R7 <https://wg21.link/P3074R7>`__","trivial unions (was ``std::uninitialized``)","2025-02 (Hagenberg)","","","`#127868 <https://github.com/llvm/llvm-project/issues/127868>`__",""
"`P1494R5 <https://wg21.link/P1494R5>`__","Partial program correctness","2025-02 (Hagenberg)","","","`#127869 <https://github.com/llvm/llvm-project/issues/127869>`__",""
"`P2900R14 <https://wg21.link/P2900R14>`__","Contracts for C++","2025-02 (Hagenberg)","","","`#127870 <https://github.com/llvm/llvm-project/issues/127870>`__",""
"`P3475R2 <https://wg21.link/P3475R2>`__","Defang and deprecate ``memory_order::consume``","2025-02 (Hagenberg)","","","`#127871 <https://github.com/llvm/llvm-project/issues/127871>`__",""
"`P2786R13 <https://wg21.link/P2786R13>`__","Trivial Relocatability For C++26","2025-02 (Hagenberg)","|Nothing To Do|","","`#127872 <https://github.com/llvm/llvm-project/issues/127872>`__","Reverted by `P3920R0 <https://wg21.link/P3920R0>`__"
"`P3137R3 <https://wg21.link/P3137R3>`__","``views::to_input``","2025-02 (Hagenberg)","|Complete|","","`#127873 <https://github.com/llvm/llvm-project/issues/127873>`__","Adopted feature is named ``views::as_input``/``__cpp_lib_ranges_as_input`` per eel.is/c++draft/version.syn -- the paper's own title (``to_input``) didn't survive wording review; implemented under the correct final name"
"`P0472R3 <https://wg21.link/P0472R3>`__","Put ``std::monostate`` in ``<utility>``","2025-02 (Hagenberg)","|Complete|","21","`#127874 <https://github.com/llvm/llvm-project/issues/127874>`__",""
"`P3349R1 <https://wg21.link/P3349R1>`__","Converting contiguous iterators to pointers","2025-02 (Hagenberg)","|Nothing To Do|","","`#127875 <https://github.com/llvm/llvm-project/issues/127875>`__","Grants permission (not a requirement) to lower contiguous ranges to pointers; libc++'s existing ``__unwrap_iter``/``__unwrap_range`` memmove-style optimizations already advance the *original* iterator (not just a derived pointer) before lowering, satisfying R1's checked-iterator constraint."
"`P3372R3 <https://wg21.link/P3372R3>`__","constexpr containers and adaptors","2025-02 (Hagenberg)","|In Progress|","","`#127876 <https://github.com/llvm/llvm-project/issues/127876>`__",""
